な,ならぶ,並ぶ,줄을 서다,,,,DAY04
な,にちようび,日曜日,일요일,,,,DAY04
な,にってい,日程,일정,,,,DAY04
な,なつ,夏,여름,,,,DAY05
な,ぬれる,濡れる,젖다,,,,DAY05
な,ないぶ,内部,내부,,,,DAY05
な,にわ,庭,"정원, 뜰",,,,DAY05
な,なか,中,"안, 속",,,,DAY06
な,にし,西,"서쪽, 서",,,,DAY06
な,のる,乗る,(탈 것에) 타다,,,,DAY06
な,のりかえる,乗り換える,"갈아타다, 환승하다",,,,DAY06
な,のりもの,乗り物,"탈 것, 교통수단",,,,DAY06
な,ねがう,願う,"바라다, 원하다",,,,DAY06
や,ゆうめいだ,有名だ,유명하다,,,,DAY04
や,ゆうしょく,夕食,저녁 식사,,,,DAY04
や,よぶ,呼ぶ,부르다,,,,DAY04
や,ようび,曜日,요일,,,,DAY04
や,よやく,予約,예약,,,,DAY04
や,ゆっくり,ゆっくり,"느긋하게, 천천히",,,,DAY04
や,ゆき,雪,눈,,,,DAY05
や,やむ,止む,(비가) 그치다,,,,DAY05
や,ようい,用意,"준비, 마련",,,,DAY05
や,よほう,予報,예보,,,,DAY05
や,ゆうびんきょく,郵便局,우체국,,,,DAY05
や,やくそく,約束,약속,,,,DAY06
か,きっさてん,喫茶店,"찻집, 카페",,,,DAY04
か,こんばん,今晩,오늘 밤,,,,DAY04
か,きゃく,客,손님,,,,DAY04
か,ごはんをたべる,ご飯を食べる,밥을 먹다,,,,DAY04
か,げつようび,月曜日,월요일,,,,DAY04
か,かようび,火曜日,화요일,,,,DAY04
か,きんようび,金曜日,금요일,,,,DAY04
か,きかん,期間,기간,,,,DAY04
か,かいじょう,会場,회장(모임을 가지는 곳),,,,DAY04
か,かかり,係り,담당,,,,DAY04
か,こんど,今度,"이번, 이다음",,,,DAY04
か,こんかい,今回,"이번, 이번 회",,,,DAY04
か,かいかん,開館,개관,,,,DAY04
か,かいし,開始,개시,,,,DAY04
か,きせつ,季節,계절,,,,DAY05
か,くうき,空気,공기,,,,DAY05
か,くも,雲,구름,,,,DAY05
か,かぜ,風,바람,,,,DAY05
か,くもる,曇る,흐리다,,,,DAY05
か,かさ,傘,우산,,,,DAY05
か,かいだん,階段,계단,,,,DAY05
か,くらい,暗い,어둡다,,,,DAY05
か,くる,来る,오다,,,,DAY05
か,ぎんこう,銀行,은행,,,,DAY05
か,こうばん,交番,파출소,,,,DAY05
か,かいかん,会館,회관,,,,DAY05
か,きょうかい,教会,교회,,,,DAY05
か,げしゅく,下宿,하숙,,,,DAY05
か,こうつう,交通,교통,,,,DAY06
か,きた,北,"북쪽, 북",,,,DAY06
か,きんじょ,近所,"근방, 근처",,,,DAY06
か,かど,角,"모퉁이, 구석",,,,DAY06
か,こうがい,郊外,교외,,,,DAY06
か,こむ,込む,"붐비다, 혼잡하다",,,,DAY06
か,こうさてん,交差点,교차로,,,,DAY06
か,くるま,車,차,,,,DAY06
か,きっぷ,きっぷ,표,,,,DAY06
か,きゅうこう,急行,급행,,,,DAY06
か,きしゃ,汽車,기차,,,,DAY06
か,こたえる,答える,대답하다,,,,DAY06
か,ことば,言葉,말,,,,DAY06
か,かきかた,書き方,쓰는 법,,,,DAY06
は,ひるごはん,昼ご飯,점심 식사,,,,DAY04
は,はらう,払う,지불하다,,,,DAY04
は,へんこう,変更,변경,,,,DAY04
は,ひ,日,"날, 날짜",,,,DAY04
は,ばんごう,番号,번호,,,,DAY04
は,はじまる,始まる,시작되다,,,,DAY04
は,はじめに,はじめに,"우선, 먼저",,,,DAY04
は,ひらく,開く,열리다,,,,DAY04
は,はっぴょうかい,発表会,발표회,,,,DAY04
は,はる,春,봄,,,,DAY05
は,ふゆ,冬,겨울,,,,DAY05
は,ふく,吹く,불다,,,,DAY05
は,ふる,降る,"(비, 눈 등이) 내리다",,,,DAY05
は,はれる,晴れる,"맑다, 날이 개다",,,,DAY05
は,ぼうし,ぼうし,모자,,,,DAY05
は,ばしょ,場所,장소,,,,DAY05
は,ひろい,広い,넓다,,,,DAY05
は,ほんや,本屋,"서점, 책방",,,,DAY05
は,ひこうじょう,飛行場,비행장,,,,DAY05
は,ひろば,広場,광장,,,,DAY05
は,ひだり,左,왼쪽,,,,DAY06
は,ひだりがわ,左側,"좌측, 왼쪽",,,,DAY06
は,ひがし,東,"동쪽, 동",,,,DAY06
は,はやい,速い,빠르다,,,,DAY06
は,ひこうき,飛行機,비행기,,,,DAY06
は,バスがこむ,バスが込む,버스가 붐비다,,,,DAY06
は,ほめる,ほめる,칭찬하다,,,,DAY06
は,はなし,話,이야기,,,,DAY06
は,はなす,話す,이야기하다,,,,DAY06
ま,まず,まず,우선,,,,DAY04
ま,もくようび,木曜日,목요일,,,,DAY04
ま,もうしこむ,申し込む,신청하다,,,,DAY04
ま,まにあう,間に合う,"시간에 맞추다, 늦지 않다",,,,DAY04
ま,まつ,待つ,기다리다,,,,DAY04
